experiment_id,architecture,cut_layer,batch_size,epochs,learning_rate,mean_transition_time,std_transition_time,min_transition_time,max_transition_time,total_transitions,unique_labels,label_0_mean,label_0_std,label_0_count,label_1_mean,label_1_std,label_1_count,label_2_mean,label_2_std,label_2_count,label_3_mean,label_3_std,label_3_count,label_4_mean,label_4_std,label_4_count,label_5_mean,label_5_std,label_5_count,label_6_mean,label_6_std,label_6_count,label_7_mean,label_7_std,label_7_count,label_8_mean,label_8_std,label_8_count,label_9_mean,label_9_std,label_9_count
35,784_128_32_10,1,64,5,0.001,0.000230814396158034,3.787970127009538e-06,0.0002251421293312,0.0002449250178086,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
36,784_128_32_10,1,128,3,0.01,0.00023076265593017595,3.4859163966074693e-06,0.0002254030092166,0.0002485561648888,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
37,784_128_32_10,2,128,3,0.01,0.000216683746928415,4.88271703499413e-06,0.0002096891403198,0.0002340570725395,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
38,784_128_32_10,1,128,3,0.01,0.00022240325094518198,3.972391285449157e-06,0.0002161974870888,0.0002331090777107,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
39,784_128_32_10,1,128,3,0.001,0.000225478907829694,3.3895757030567455e-06,0.0002202961888581,0.0002354583638237,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
40,784_128_32_10,2,128,3,0.001,0.000205699619032658,4.159392605194004e-06,0.0002005608264145,0.0002300061777675,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
41,784_128_32_10,1,128,3,0.001,0.00022786680220996397,5.1173868152914e-06,0.0002209737719432,0.0002444783846537,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
42,784_128_32_10,1,128,5,0.01,0.00023719734729819606,3.3070638997470683e-06,0.0002315890298,0.0002478803190333,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
43,784_128_32_10,2,128,5,0.01,0.00020551015218114196,3.589559378036767e-06,0.000198611073876,0.0002236260601688,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
44,784_128_32_10,1,128,5,0.01,0.000227970416669741,3.4017843859751676e-06,0.0002224643797581,0.000241531601435,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
